node degree label
0 49 0
1 49 0
2 49 0
3 49 0
4 49 0
5 49 0
6 49 0
7 49 0
8 49 0
9 49 0
10 49 0
11 49 0
12 49 0
13 49 0
14 49 0
15 49 0
16 49 0
17 49 0
18 49 0
19 49 0
20 49 0
21 49 0
22 49 0
23 49 0
24 49 0
25 49 0
26 49 0
27 49 0
28 49 0
29 49 0
30 49 0
31 49 0
32 49 0
33 49 0
34 49 0
35 49 0
36 49 0
37 49 0
38 49 0
39 49 0
40 49 0
41 49 0
42 49 0
43 49 0
44 49 0
45 49 0
46 49 0
47 49 0
48 49 0
49 50 0
50 2 1
51 2 1
52 2 1
53 2 1
54 2 1
55 2 1
56 2 1
57 2 1
58 2 1
59 2 1
60 2 1
61 2 1
62 2 1
63 2 1
64 2 1
65 2 1
66 2 1
67 2 1
68 2 1
69 2 1
70 2 1
71 2 1
72 2 1
73 2 1
74 2 1
75 2 1
76 2 1
77 2 1
78 2 1
79 2 1
80 2 1
81 2 1
82 2 1
83 2 1
84 2 1
85 2 1
86 2 1
87 2 1
88 2 1
89 2 1
90 2 1
91 2 1
92 2 1
93 2 1
94 2 1
95 2 1
96 2 1
97 2 1
98 2 1
99 2 1
100 50 0
101 49 0
102 49 0
103 49 0
104 49 0
105 49 0
106 49 0
107 49 0
108 49 0
109 49 0
110 49 0
111 49 0
112 49 0
113 49 0
114 49 0
115 49 0
116 49 0
117 49 0
118 49 0
119 49 0
120 49 0
121 49 0
122 49 0
123 49 0
124 49 0
125 49 0
126 49 0
127 49 0
128 49 0
129 49 0
130 49 0
131 49 0
132 49 0
133 49 0
134 49 0
135 49 0
136 49 0
137 49 0
138 49 0
139 49 0
140 49 0
141 49 0
142 49 0
143 49 0
144 49 0
145 49 0
146 49 0
147 49 0
148 49 0
149 49 0
