node degree label
0 69 0
1 69 0
2 69 0
3 69 0
4 69 0
5 69 0
6 69 0
7 69 0
8 69 0
9 69 0
10 69 0
11 69 0
12 69 0
13 69 0
14 69 0
15 69 0
16 69 0
17 69 0
18 69 0
19 69 0
20 69 0
21 69 0
22 69 0
23 69 0
24 69 0
25 69 0
26 69 0
27 69 0
28 69 0
29 69 0
30 69 0
31 69 0
32 69 0
33 69 0
34 69 0
35 69 0
36 69 0
37 69 0
38 69 0
39 69 0
40 69 0
41 69 0
42 69 0
43 69 0
44 69 0
45 69 0
46 69 0
47 69 0
48 69 0
49 69 0
50 69 0
51 69 0
52 69 0
53 69 0
54 69 0
55 69 0
56 69 0
57 69 0
58 69 0
59 69 0
60 69 0
61 69 0
62 69 0
63 69 0
64 69 0
65 69 0
66 69 0
67 69 0
68 69 0
69 70 0
70 2 1
71 2 1
72 2 1
73 2 1
74 2 1
75 2 1
76 2 1
77 2 1
78 2 1
79 2 1
80 2 1
81 2 1
82 2 1
83 2 1
84 2 1
85 2 1
86 2 1
87 2 1
88 2 1
89 2 1
90 2 1
91 2 1
92 2 1
93 2 1
94 2 1
95 2 1
96 2 1
97 2 1
98 2 1
99 2 1
100 2 1
101 2 1
102 2 1
103 2 1
104 2 1
105 2 1
106 2 1
107 2 1
108 2 1
109 2 1
110 2 1
111 2 1
112 2 1
113 2 1
114 2 1
115 2 1
116 2 1
117 2 1
118 2 1
119 2 1
120 2 1
121 2 1
122 2 1
123 2 1
124 2 1
125 2 1
126 2 1
127 2 1
128 2 1
129 2 1
130 2 1
131 2 1
132 2 1
133 2 1
134 2 1
135 2 1
136 2 1
137 2 1
138 2 1
139 2 1
140 70 0
141 69 0
142 69 0
143 69 0
144 69 0
145 69 0
146 69 0
147 69 0
148 69 0
149 69 0
150 69 0
151 69 0
152 69 0
153 69 0
154 69 0
155 69 0
156 69 0
157 69 0
158 69 0
159 69 0
160 69 0
161 69 0
162 69 0
163 69 0
164 69 0
165 69 0
166 69 0
167 69 0
168 69 0
169 69 0
170 69 0
171 69 0
172 69 0
173 69 0
174 69 0
175 69 0
176 69 0
177 69 0
178 69 0
179 69 0
180 69 0
181 69 0
182 69 0
183 69 0
184 69 0
185 69 0
186 69 0
187 69 0
188 69 0
189 69 0
190 69 0
191 69 0
192 69 0
193 69 0
194 69 0
195 69 0
196 69 0
197 69 0
198 69 0
199 69 0
200 69 0
201 69 0
202 69 0
203 69 0
204 69 0
205 69 0
206 69 0
207 69 0
208 69 0
209 69 0
