node degree label
0 59 0
1 59 0
2 59 0
3 59 0
4 59 0
5 59 0
6 59 0
7 59 0
8 59 0
9 59 0
10 59 0
11 59 0
12 59 0
13 59 0
14 59 0
15 59 0
16 59 0
17 59 0
18 59 0
19 59 0
20 59 0
21 59 0
22 59 0
23 59 0
24 59 0
25 59 0
26 59 0
27 59 0
28 59 0
29 59 0
30 59 0
31 59 0
32 59 0
33 59 0
34 59 0
35 59 0
36 59 0
37 59 0
38 59 0
39 59 0
40 59 0
41 59 0
42 59 0
43 59 0
44 59 0
45 59 0
46 59 0
47 59 0
48 59 0
49 59 0
50 59 0
51 59 0
52 59 0
53 59 0
54 59 0
55 59 0
56 59 0
57 59 0
58 59 0
59 60 0
60 2 1
61 2 1
62 2 1
63 2 1
64 2 1
65 2 1
66 2 1
67 2 1
68 2 1
69 2 1
70 2 1
71 2 1
72 2 1
73 2 1
74 2 1
75 2 1
76 2 1
77 2 1
78 2 1
79 2 1
80 2 1
81 2 1
82 2 1
83 2 1
84 2 1
85 2 1
86 2 1
87 2 1
88 2 1
89 2 1
90 2 1
91 2 1
92 2 1
93 2 1
94 2 1
95 2 1
96 2 1
97 2 1
98 2 1
99 2 1
100 2 1
101 2 1
102 2 1
103 2 1
104 2 1
105 2 1
106 2 1
107 2 1
108 2 1
109 2 1
110 2 1
111 2 1
112 2 1
113 2 1
114 2 1
115 2 1
116 2 1
117 2 1
118 2 1
119 2 1
120 60 0
121 59 0
122 59 0
123 59 0
124 59 0
125 59 0
126 59 0
127 59 0
128 59 0
129 59 0
130 59 0
131 59 0
132 59 0
133 59 0
134 59 0
135 59 0
136 59 0
137 59 0
138 59 0
139 59 0
140 59 0
141 59 0
142 59 0
143 59 0
144 59 0
145 59 0
146 59 0
147 59 0
148 59 0
149 59 0
150 59 0
151 59 0
152 59 0
153 59 0
154 59 0
155 59 0
156 59 0
157 59 0
158 59 0
159 59 0
160 59 0
161 59 0
162 59 0
163 59 0
164 59 0
165 59 0
166 59 0
167 59 0
168 59 0
169 59 0
170 59 0
171 59 0
172 59 0
173 59 0
174 59 0
175 59 0
176 59 0
177 59 0
178 59 0
179 59 0
