node degree label
0 89 0
1 89 0
2 89 0
3 89 0
4 89 0
5 89 0
6 89 0
7 89 0
8 89 0
9 89 0
10 89 0
11 89 0
12 89 0
13 89 0
14 89 0
15 89 0
16 89 0
17 89 0
18 89 0
19 89 0
20 89 0
21 89 0
22 89 0
23 89 0
24 89 0
25 89 0
26 89 0
27 89 0
28 89 0
29 89 0
30 89 0
31 89 0
32 89 0
33 89 0
34 89 0
35 89 0
36 89 0
37 89 0
38 89 0
39 89 0
40 89 0
41 89 0
42 89 0
43 89 0
44 89 0
45 89 0
46 89 0
47 89 0
48 89 0
49 89 0
50 89 0
51 89 0
52 89 0
53 89 0
54 89 0
55 89 0
56 89 0
57 89 0
58 89 0
59 89 0
60 89 0
61 89 0
62 89 0
63 89 0
64 89 0
65 89 0
66 89 0
67 89 0
68 89 0
69 89 0
70 89 0
71 89 0
72 89 0
73 89 0
74 89 0
75 89 0
76 89 0
77 89 0
78 89 0
79 89 0
80 89 0
81 89 0
82 89 0
83 89 0
84 89 0
85 89 0
86 89 0
87 89 0
88 89 0
89 90 0
90 2 1
91 2 1
92 2 1
93 2 1
94 2 1
95 2 1
96 2 1
97 2 1
98 2 1
99 2 1
100 2 1
101 2 1
102 2 1
103 2 1
104 2 1
105 2 1
106 2 1
107 2 1
108 2 1
109 2 1
110 2 1
111 2 1
112 2 1
113 2 1
114 2 1
115 2 1
116 2 1
117 2 1
118 2 1
119 2 1
120 2 1
121 2 1
122 2 1
123 2 1
124 2 1
125 2 1
126 2 1
127 2 1
128 2 1
129 2 1
130 2 1
131 2 1
132 2 1
133 2 1
134 2 1
135 2 1
136 2 1
137 2 1
138 2 1
139 2 1
140 2 1
141 2 1
142 2 1
143 2 1
144 2 1
145 2 1
146 2 1
147 2 1
148 2 1
149 2 1
150 2 1
151 2 1
152 2 1
153 2 1
154 2 1
155 2 1
156 2 1
157 2 1
158 2 1
159 2 1
160 2 1
161 2 1
162 2 1
163 2 1
164 2 1
165 2 1
166 2 1
167 2 1
168 2 1
169 2 1
170 2 1
171 2 1
172 2 1
173 2 1
174 2 1
175 2 1
176 2 1
177 2 1
178 2 1
179 2 1
180 90 0
181 89 0
182 89 0
183 89 0
184 89 0
185 89 0
186 89 0
187 89 0
188 89 0
189 89 0
190 89 0
191 89 0
192 89 0
193 89 0
194 89 0
195 89 0
196 89 0
197 89 0
198 89 0
199 89 0
200 89 0
201 89 0
202 89 0
203 89 0
204 89 0
205 89 0
206 89 0
207 89 0
208 89 0
209 89 0
210 89 0
211 89 0
212 89 0
213 89 0
214 89 0
215 89 0
216 89 0
217 89 0
218 89 0
219 89 0
220 89 0
221 89 0
222 89 0
223 89 0
224 89 0
225 89 0
226 89 0
227 89 0
228 89 0
229 89 0
230 89 0
231 89 0
232 89 0
233 89 0
234 89 0
235 89 0
236 89 0
237 89 0
238 89 0
239 89 0
240 89 0
241 89 0
242 89 0
243 89 0
244 89 0
245 89 0
246 89 0
247 89 0
248 89 0
249 89 0
250 89 0
251 89 0
252 89 0
253 89 0
254 89 0
255 89 0
256 89 0
257 89 0
258 89 0
259 89 0
260 89 0
261 89 0
262 89 0
263 89 0
264 89 0
265 89 0
266 89 0
267 89 0
268 89 0
269 89 0
