node degree label
0 39 0
1 39 0
2 39 0
3 39 0
4 39 0
5 39 0
6 39 0
7 39 0
8 39 0
9 39 0
10 39 0
11 39 0
12 39 0
13 39 0
14 39 0
15 39 0
16 39 0
17 39 0
18 39 0
19 39 0
20 39 0
21 39 0
22 39 0
23 39 0
24 39 0
25 39 0
26 39 0
27 39 0
28 39 0
29 39 0
30 39 0
31 39 0
32 39 0
33 39 0
34 39 0
35 39 0
36 39 0
37 39 0
38 39 0
39 40 0
40 2 1
41 2 1
42 2 1
43 2 1
44 2 1
45 2 1
46 2 1
47 2 1
48 2 1
49 2 1
50 2 1
51 2 1
52 2 1
53 2 1
54 2 1
55 2 1
56 2 1
57 2 1
58 2 1
59 2 1
60 2 1
61 2 1
62 2 1
63 2 1
64 2 1
65 2 1
66 2 1
67 2 1
68 2 1
69 2 1
70 2 1
71 2 1
72 2 1
73 2 1
74 2 1
75 2 1
76 2 1
77 2 1
78 2 1
79 2 1
80 40 0
81 39 0
82 39 0
83 39 0
84 39 0
85 39 0
86 39 0
87 39 0
88 39 0
89 39 0
90 39 0
91 39 0
92 39 0
93 39 0
94 39 0
95 39 0
96 39 0
97 39 0
98 39 0
99 39 0
100 39 0
101 39 0
102 39 0
103 39 0
104 39 0
105 39 0
106 39 0
107 39 0
108 39 0
109 39 0
110 39 0
111 39 0
112 39 0
113 39 0
114 39 0
115 39 0
116 39 0
117 39 0
118 39 0
119 39 0
